Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
39,,05-02-2018,10-02-2018,,,,,,,,
40,,05-02-2018,10-02-2018,,,,,,,,
41,,05-02-2018,10-02-2018,,,,,,,23-03-2018,F
42,,05-02-2018,10-02-2018,,,,,,,15-03-2018,M
43,,05-02-2018,10-02-2018,,,,,,,19-03-2018,F
44,,05-02-2018,10-02-2018,,,,,,,13-03-2018,M
45,,05-02-2018,10-02-2018,,,,,,,,
46,,05-02-2018,10-02-2018,,,,,,,,
47,,05-02-2018,10-02-2018,,,,,,,,
48,,05-02-2018,10-02-2018,,,,,,,,
49,,05-02-2018,10-02-2018,,,,,,,21-03-2018,M
50,,05-02-2018,10-02-2018,,,,,,,14-03-2018,M
