Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
15,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
16,,28-01-2018,01-02-2018,,,,,,17-02-2018,M
17,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
18,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
19,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
20,,28-01-2018,01-02-2018,,,,,,22-02-2018,F
21,,28-01-2018,01-02-2018,,,,,,,
22,,28-01-2018,01-02-2018,,,,,,,
23,,28-01-2018,01-02-2018,,,,,,22-02-2018,M
24,,28-01-2018,01-02-2018,,,,,,24-02-2018,F
25,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
26,,28-01-2018,01-02-2018,,,,,,23-02-2018,F
27,,28-01-2018,01-02-2018,,,,,,25-02-2018,M
28,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
29,,28-01-2018,01-02-2018,,,,,,18-02-2018,M
30,,28-01-2018,01-02-2018,,,,,,18-02-2018,M
31,,28-01-2018,01-02-2018,,,,,,21-02-2018,M
32,,28-01-2018,01-02-2018,,,,,,,
33,,28-01-2018,01-02-2018,,,,,,21-02-2018,M
34,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
35,,28-01-2018,01-02-2018,,,,,,21-02-2018,M
36,,28-01-2018,01-02-2018,,,,,,21-02-2018,F
37,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
38,,28-01-2018,01-02-2018,,,,,,,
39,,28-01-2018,01-02-2018,,,,,,21-02-2018,F
40,,28-01-2018,01-02-2018,,,,,,21-02-2018,M
41,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
42,,28-01-2018,01-02-2018,,,,,,21-02-2018,M
43,,28-01-2018,01-02-2018,,,,,,18-02-2018,M
44,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
45,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
46,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
47,,28-01-2018,01-02-2018,,,,,,26-02-2018,F
48,,28-01-2018,01-02-2018,,,,,,,
49,,28-01-2018,01-02-2018,,,,,,18-02-2018,F
50,,28-01-2018,01-02-2018,,,,,,23-02-2018,F
